episode,reward,length,compromise_progress
1,12.5,1,0.25
2,12.5,1,0.25
3,15.600000381469727,2,0.3333333333333333
4,12.5,1,0.0
5,12.5,1,0.0
6,12.5,1,0.0
7,12.5,1,0.0
8,12.5,1,0.0
9,15.600000381469727,2,0.3333333333333333
10,12.5,1,0.0
11,12.5,1,0.25
12,12.5,1,0.0
13,12.5,1,0.25
14,12.5,1,0.0
15,12.5,1,0.25
16,12.5,1,0.0
17,12.5,1,0.0
18,12.5,1,0.0
19,12.5,1,0.0
20,12.5,1,0.25
21,15.600000381469727,2,0.3333333333333333
22,12.5,1,0.0
23,12.5,1,0.25
24,12.5,1,0.0
25,12.5,1,0.0
26,12.5,1,0.25
27,12.5,1,0.0
28,12.5,1,0.0
29,12.5,1,0.25
30,12.5,1,0.0
31,12.5,1,0.0
32,12.5,1,0.25
33,12.5,1,0.25
34,12.5,1,0.0
35,12.5,1,0.25
36,12.5,1,0.0
37,15.600000381469727,2,0.3333333333333333
38,15.600000381469727,2,0.3333333333333333
39,12.5,1,0.25
40,12.5,1,0.0
41,12.5,1,0.0
42,12.5,1,0.0
43,12.5,1,0.25
44,12.5,1,0.0
45,12.5,1,0.0
46,12.5,1,0.0
47,12.5,1,0.25
48,12.5,1,0.25
49,12.5,1,0.25
50,12.5,1,0.0
51,12.5,1,0.0
52,15.600000381469727,2,0.3333333333333333
53,12.5,1,0.0
54,12.5,1,0.25
55,12.5,1,0.0
56,12.5,1,0.25
57,15.600000381469727,2,0.3333333333333333
58,12.5,1,0.25
59,12.5,1,0.25
60,12.5,1,0.0
61,12.5,1,0.25
62,12.5,1,0.0
63,12.5,1,0.25
64,12.5,1,0.25
65,15.600000381469727,2,0.3333333333333333
66,12.5,1,0.0
67,12.5,1,0.0
68,12.5,1,0.0
69,12.5,1,0.25
70,15.600000381469727,2,0.3333333333333333
71,12.5,1,0.0
72,12.5,1,0.0
73,12.5,1,0.0
74,12.5,1,0.0
75,12.5,1,0.0
76,15.600000381469727,2,0.3333333333333333
77,12.5,1,0.0
78,12.5,1,0.0
79,12.5,1,0.0
80,12.5,1,0.0
81,12.5,1,0.0
82,12.5,1,0.0
83,12.5,1,0.25
84,12.5,1,0.0
85,15.600000381469727,2,0.3333333333333333
86,15.600000381469727,2,0.3333333333333333
87,12.5,1,0.25
88,15.600000381469727,2,0.3333333333333333
89,15.600000381469727,2,0.3333333333333333
90,12.5,1,0.0
91,12.5,1,0.0
92,12.5,1,0.0
93,12.5,1,0.25
94,12.5,1,0.25
95,12.5,1,0.25
96,12.5,1,0.0
97,12.5,1,0.0
98,12.5,1,0.0
99,12.5,1,0.25
100,12.5,1,0.0
