episode,reward,length,compromise_progress
1,-10.800000190734863,1,0.0
2,-12.0,1,0.0
3,38.92100143432617,2,1.0625
4,38.92100143432617,2,1.0625
5,-10.800000190734863,1,0.0
6,37.913002014160156,3,1.0625
7,48.55999755859375,5,1.0625
8,-10.800000190734863,1,0.0
9,36.9010009765625,4,1.0625
10,-10.800000190734863,1,0.0
11,38.92100143432617,2,1.0625
12,38.92100143432617,2,1.0625
13,-1.4989995956420898,4,0.5
14,37.92100143432617,2,1.0625
15,-10.800000190734863,1,0.0
16,37.92100143432617,2,1.0625
17,-10.800000190734863,1,0.0
18,-10.800000190734863,1,0.0
19,-10.800000190734863,1,0.0
20,32.64099884033203,7,1.0625
21,38.92100143432617,2,1.0625
22,33.685001373291016,5,1.0625
23,35.70100021362305,4,1.0625
24,37.913002014160156,3,1.0625
25,37.92100143432617,2,1.0625
26,-10.800000190734863,1,0.0
27,48.625999450683594,4,1.0625
28,38.92100143432617,2,1.0625
29,-10.800000190734863,1,0.0
30,-10.800000190734863,1,0.0
31,36.913002014160156,3,1.0625
32,-10.800000190734863,1,0.0
33,-12.0,1,0.0
34,-12.0,1,0.0
35,-0.6869993209838867,3,0.5
36,36.913002014160156,3,1.0625
37,37.913002014160156,3,1.0625
38,34.8650016784668,6,1.0625
39,32.46500015258789,6,1.0625
40,-10.800000190734863,1,0.0
41,36.913002014160156,3,1.0625
42,-10.800000190734863,1,0.0
43,-10.800000190734863,1,0.0
44,36.913002014160156,3,1.0625
45,36.9010009765625,4,1.0625
46,0.12100028991699219,2,0.5
47,36.7130012512207,3,1.0625
48,-10.800000190734863,1,0.0
49,-10.800000190734863,1,0.0
50,-10.800000190734863,1,0.0
51,38.92100143432617,2,1.0625
52,-10.800000190734863,1,0.0
53,37.913002014160156,3,1.0625
54,35.70100021362305,4,1.0625
55,35.88500213623047,5,1.0625
56,32.665000915527344,6,1.0625
57,-10.800000190734863,1,0.0
58,37.913002014160156,3,1.0625
59,38.92100143432617,2,1.0625
60,-10.800000190734863,1,0.0
61,36.7130012512207,3,1.0625
62,37.913002014160156,3,1.0625
63,-10.800000190734863,1,0.0
64,36.913002014160156,3,1.0625
65,37.92100143432617,2,1.0625
66,-10.800000190734863,1,0.0
67,36.9010009765625,4,1.0625
68,36.7130012512207,3,1.0625
69,37.913002014160156,3,1.0625
70,36.913002014160156,3,1.0625
71,38.92100143432617,2,1.0625
72,36.913002014160156,3,1.0625
73,38.92100143432617,2,1.0625
74,-12.0,1,0.0
75,37.913002014160156,3,1.0625
76,36.9010009765625,4,1.0625
77,37.913002014160156,3,1.0625
78,-10.800000190734863,1,0.0
79,35.88500213623047,5,1.0625
80,-10.800000190734863,1,0.0
81,-10.800000190734863,1,0.0
82,-10.800000190734863,1,0.0
83,47.13800048828125,13,0.5625
84,35.88500213623047,5,1.0625
85,36.913002014160156,3,1.0625
86,38.92100143432617,2,1.0625
87,36.9010009765625,4,1.0625
88,-10.800000190734863,1,0.0
89,38.92100143432617,2,1.0625
90,38.92100143432617,2,1.0625
91,-10.800000190734863,1,0.0
92,34.88500213623047,5,1.0625
93,-10.800000190734863,1,0.0
94,36.913002014160156,3,1.0625
95,-6.158999919891357,7,0.5
96,38.92100143432617,2,1.0625
97,34.680999755859375,9,1.0625
98,-10.800000190734863,1,0.0
99,37.913002014160156,3,1.0625
100,-12.0,1,0.0
