episode,reward,length,compromise_progress
1,15.600000381469727,2,0.375
2,12.5,1,0.0
3,12.5,1,0.0
4,15.600000381469727,2,0.375
5,12.5,1,0.0
6,12.5,1,0.0
7,12.5,1,0.0
8,12.5,1,0.0
9,15.600000381469727,2,0.5
10,15.600000381469727,2,0.375
11,12.5,1,0.0
12,12.5,1,0.0
13,12.5,1,0.0
14,15.600000381469727,2,0.375
15,15.600000381469727,2,0.5
16,15.600000381469727,2,0.5
17,15.600000381469727,2,0.5
18,15.600000381469727,2,0.5
19,12.5,1,0.0
20,15.600000381469727,2,0.375
21,15.600000381469727,2,0.375
22,15.600000381469727,2,0.5
23,12.5,1,0.0
24,12.5,1,0.0
25,15.600000381469727,2,0.5
26,15.600000381469727,2,0.5
27,12.5,1,0.0
28,12.5,1,0.0
29,15.600000381469727,2,0.375
30,15.600000381469727,2,0.375
31,12.5,1,0.0
32,15.600000381469727,2,0.375
33,12.5,1,0.0
34,15.600000381469727,2,0.375
35,12.5,1,0.0
36,15.600000381469727,2,0.5
37,12.5,1,0.0
38,15.600000381469727,2,0.5
39,12.5,1,0.0
40,12.5,1,0.0
41,12.5,1,0.0
42,12.5,1,0.0
43,15.600000381469727,2,0.5
44,15.600000381469727,2,0.375
45,15.600000381469727,2,0.5
46,12.5,1,0.0
47,15.600000381469727,2,0.5
48,15.600000381469727,2,0.5
49,15.600000381469727,2,0.5
50,15.600000381469727,2,0.375
51,15.600000381469727,2,0.375
52,15.600000381469727,2,0.5
53,12.5,1,0.0
54,12.5,1,0.0
55,12.5,1,0.0
56,15.600000381469727,2,0.375
57,12.5,1,0.0
58,15.600000381469727,2,0.375
59,15.600000381469727,2,0.375
60,12.5,1,0.0
61,12.5,1,0.0
62,15.600000381469727,2,0.375
63,12.5,1,0.0
64,12.5,1,0.0
65,12.5,1,0.0
66,15.600000381469727,2,0.5
67,12.5,1,0.0
68,12.5,1,0.0
69,12.5,1,0.0
70,12.5,1,0.0
71,15.600000381469727,2,0.375
72,15.600000381469727,2,0.5
73,15.600000381469727,2,0.375
74,15.600000381469727,2,0.5
75,15.600000381469727,2,0.375
76,15.600000381469727,2,0.375
77,15.600000381469727,2,0.375
78,12.5,1,0.0
79,15.600000381469727,2,0.375
80,15.600000381469727,2,0.375
81,15.600000381469727,2,0.5
82,15.600000381469727,2,0.5
83,12.5,1,0.0
84,15.600000381469727,2,0.5
85,15.600000381469727,2,0.375
86,15.600000381469727,2,0.5
87,15.600000381469727,2,0.5
88,12.5,1,0.0
89,15.600000381469727,2,0.5
90,15.600000381469727,2,0.375
91,12.5,1,0.0
92,15.600000381469727,2,0.5
93,15.600000381469727,2,0.5
94,15.600000381469727,2,0.375
95,15.600000381469727,2,0.5
96,12.5,1,0.0
97,12.5,1,0.0
98,15.600000381469727,2,0.5
99,12.5,1,0.0
100,15.600000381469727,2,0.5
