episode,reward,length,compromise_progress
1,12.5,1,0.0
2,-9.449999809265137,15,0.375
3,12.5,1,0.0
4,-7.699999809265137,15,0.375
5,12.5,1,0.0
6,15.600000381469727,2,0.5
7,-6.199999809265137,15,0.375
8,12.5,1,0.0
9,-8.949999809265137,15,0.375
10,12.5,1,0.0
11,15.600000381469727,2,0.5
12,-7.949999809265137,15,0.375
13,15.600000381469727,2,0.5
14,-6.699999809265137,15,0.375
15,12.5,1,0.0
16,12.5,1,0.0
17,12.5,1,0.0
18,-6.949999809265137,15,0.375
19,12.5,1,0.0
20,-6.199999809265137,15,0.375
21,15.600000381469727,2,0.5
22,-6.949999809265137,15,0.375
23,12.5,1,0.0
24,15.600000381469727,2,0.5
25,15.600000381469727,2,0.5
26,15.600000381469727,2,0.5
27,15.600000381469727,2,0.5
28,-6.199999809265137,15,0.375
29,15.600000381469727,2,0.5
30,-6.449999809265137,15,0.375
31,12.5,1,0.0
32,15.600000381469727,2,0.5
33,12.5,1,0.0
34,12.5,1,0.0
35,-6.199999809265137,15,0.375
36,12.5,1,0.0
37,12.5,1,0.0
38,12.5,1,0.0
39,12.5,1,0.0
40,15.600000381469727,2,0.5
41,15.600000381469727,2,0.5
42,15.600000381469727,2,0.5
43,12.5,1,0.0
44,12.5,1,0.0
45,-6.949999809265137,15,0.375
46,-6.449999809265137,15,0.375
47,12.5,1,0.0
48,-8.449999809265137,15,0.375
49,15.600000381469727,2,0.5
50,12.5,1,0.0
51,-7.699999809265137,15,0.375
52,12.5,1,0.0
53,-6.199999809265137,15,0.375
54,15.600000381469727,2,0.5
55,12.5,1,0.0
56,-9.449999809265137,15,0.375
57,12.5,1,0.0
58,15.600000381469727,2,0.5
59,-6.199999809265137,15,0.375
60,12.5,1,0.0
61,-6.449999809265137,15,0.375
62,12.5,1,0.0
63,-7.949999809265137,15,0.375
64,15.600000381469727,2,0.5
65,12.5,1,0.0
66,-6.949999809265137,15,0.375
67,15.600000381469727,2,0.5
68,15.600000381469727,2,0.5
69,12.5,1,0.0
70,15.600000381469727,2,0.5
71,-7.699999809265137,15,0.375
72,12.5,1,0.0
73,12.5,1,0.0
74,15.600000381469727,2,0.5
75,15.600000381469727,2,0.5
76,-6.699999809265137,15,0.375
77,12.5,1,0.0
78,15.600000381469727,2,0.5
79,12.5,1,0.0
80,12.5,1,0.0
81,15.600000381469727,2,0.5
82,-6.199999809265137,15,0.375
83,-6.199999809265137,15,0.375
84,-6.199999809265137,15,0.375
85,12.5,1,0.0
86,12.5,1,0.0
87,-7.699999809265137,15,0.375
88,12.5,1,0.0
89,15.600000381469727,2,0.5
90,12.5,1,0.0
91,12.5,1,0.0
92,12.5,1,0.0
93,15.600000381469727,2,0.5
94,-6.449999809265137,15,0.375
95,15.600000381469727,2,0.5
96,12.5,1,0.0
97,12.5,1,0.0
98,12.5,1,0.0
99,12.5,1,0.0
100,12.5,1,0.0
