team,mean_win_rate,std_win_rate,mean_reward,std_reward,confidence_interval_lower,confidence_interval_upper
red_team,46.0,4.546060565661952,6.786667346954346,1.7819286875062839,40.0,51.0
blue_team,100.0,0.0,16.5,0.0,100.0,100.0
